Test Number,Data Layer,Application Layer,Test,Name Lookup,Connect,App Connect,PreTransfer,Redirect,Start Transfer,Total Time
127,MySQL,Python,python-mysql-app-aggre-1,0.000015,0.000075,0.000000,0.000087,0.000000,0.042045,0.042088
128,MySQL,Python,python-mysql-app-aggre-1,0.000015,0.000106,0.000000,0.000120,0.000000,0.045532,0.045571
129,MySQL,Python,python-mysql-app-aggre-1,0.000018,0.000087,0.000000,0.000101,0.000000,0.042185,0.042231
130,MySQL,Python,python-mysql-app-aggre-1,0.000014,0.000065,0.000000,0.000076,0.000000,0.042564,0.042623
131,MySQL,Python,python-mysql-app-aggre-1,0.000016,0.000092,0.000000,0.000108,0.000000,0.042897,0.042945
132,MySQL,Python,python-mysql-app-aggre-1,0.000014,0.000065,0.000000,0.000076,0.000000,0.041942,0.041973
133,MySQL,Python,python-mysql-app-aggre-1,0.000014,0.000062,0.000000,0.000078,0.000000,0.042643,0.042681
134,MySQL,Python,python-mysql-app-aggre-1,0.000017,0.000080,0.000000,0.000094,0.000000,0.043035,0.043088
135,MySQL,Python,python-mysql-app-aggre-1,0.000015,0.000099,0.000000,0.000113,0.000000,0.042673,0.042707
136,MySQL,Python,python-mysql-app-aggre-1,0.000014,0.000073,0.000000,0.000085,0.000000,0.041253,0.041301
137,MySQL,Python,python-mysql-app-aggre-1,0.000013,0.000074,0.000000,0.000086,0.000000,0.041794,0.041849
138,MySQL,Python,python-mysql-app-aggre-1,0.000014,0.000066,0.000000,0.000077,0.000000,0.041943,0.041983
139,MySQL,Python,python-mysql-app-aggre-1,0.000016,0.000100,0.000000,0.000111,0.000000,0.042748,0.042788
140,MySQL,Python,python-mysql-app-aggre-1,0.000017,0.000070,0.000000,0.000081,0.000000,0.043340,0.043379
141,MySQL,Python,python-mysql-app-aggre-1,0.000014,0.000066,0.000000,0.000079,0.000000,0.042710,0.042751
142,MySQL,Python,python-mysql-app-aggre-1,0.000014,0.000063,0.000000,0.000074,0.000000,0.041362,0.041398
143,MySQL,Python,python-mysql-app-aggre-1,0.000016,0.000079,0.000000,0.000092,0.000000,0.045112,0.045153
144,MySQL,Python,python-mysql-app-aggre-1,0.000015,0.014606,0.000000,0.014623,0.000000,0.056467,0.056510
145,MySQL,Python,python-mysql-app-aggre-1,0.000013,0.000094,0.000000,0.000106,0.000000,0.042351,0.042390
146,MySQL,Python,python-mysql-app-aggre-1,0.000015,0.000073,0.000000,0.000084,0.000000,0.044579,0.044623
147,MySQL,Python,python-mysql-app-aggre-1,0.000019,0.000082,0.000000,0.000096,0.000000,0.048181,0.048224
148,MySQL,Python,python-mysql-app-aggre-1,0.000018,0.000084,0.000000,0.000101,0.000000,0.044584,0.044634
149,MySQL,Python,python-mysql-app-aggre-1,0.000016,0.000078,0.000000,0.000090,0.000000,0.044686,0.044743
150,MySQL,Python,python-mysql-app-aggre-1,0.000021,0.000113,0.000000,0.000134,0.000000,0.042292,0.042325
151,MySQL,Python,python-mysql-app-aggre-1,0.000015,0.000104,0.000000,0.000117,0.000000,0.041958,0.042008
152,MySQL,Python,python-mysql-app-aggre-1,0.000014,0.000071,0.000000,0.000083,0.000000,0.042486,0.042526
153,MySQL,Python,python-mysql-app-aggre-1,0.000015,0.000072,0.000000,0.000083,0.000000,0.041282,0.041335
154,MySQL,Python,python-mysql-app-aggre-1,0.000014,0.000071,0.000000,0.000082,0.000000,0.041991,0.042054
155,MySQL,Python,python-mysql-app-aggre-1,0.000015,0.000062,0.000000,0.000073,0.000000,0.042858,0.042908
156,MySQL,Python,python-mysql-app-aggre-1,0.000014,0.000070,0.000000,0.000080,0.000000,0.041591,0.041620
157,MySQL,Python,python-mysql-app-aggre-1,0.000014,0.000071,0.000000,0.000083,0.000000,0.042284,0.042334
158,MySQL,Python,python-mysql-app-aggre-1,0.000014,0.000070,0.000000,0.000080,0.000000,0.041604,0.041654
159,MySQL,Python,python-mysql-app-aggre-1,0.000017,0.000078,0.000000,0.000091,0.000000,0.042383,0.042431
160,MySQL,Python,python-mysql-app-aggre-1,0.000012,0.000066,0.000000,0.000078,0.000000,0.042530,0.042566
161,MySQL,Python,python-mysql-app-aggre-1,0.000015,0.000069,0.000000,0.000080,0.000000,0.042730,0.042792
162,MySQL,Python,python-mysql-app-aggre-1,0.000013,0.000062,0.000000,0.000074,0.000000,0.040962,0.041014
163,MySQL,Python,python-mysql-app-aggre-1,0.000014,0.000069,0.000000,0.000082,0.000000,0.041475,0.041518
164,MySQL,Python,python-mysql-app-aggre-1,0.000014,0.000065,0.000000,0.000078,0.000000,0.042053,0.042112
165,MySQL,Python,python-mysql-app-aggre-1,0.000015,0.000067,0.000000,0.000078,0.000000,0.042447,0.042483
166,MySQL,Python,python-mysql-app-aggre-1,0.000039,0.000090,0.000000,0.000101,0.000000,0.041556,0.041600
167,MySQL,Python,python-mysql-app-aggre-1,0.000016,0.000079,0.000000,0.000092,0.000000,0.044382,0.044416
168,MySQL,Python,python-mysql-app-aggre-1,0.000013,0.000067,0.000000,0.000079,0.000000,0.042068,0.042102
169,MySQL,Python,python-mysql-app-aggre-1,0.000020,0.000073,0.000000,0.000087,0.000000,0.044370,0.044410
170,MySQL,Python,python-mysql-app-aggre-1,0.000014,0.000065,0.000000,0.000078,0.000000,0.043880,0.043917
171,MySQL,Python,python-mysql-app-aggre-1,0.000013,0.000067,0.000000,0.000078,0.000000,0.041917,0.041948
172,MySQL,Python,python-mysql-app-aggre-1,0.000012,0.000061,0.000000,0.000071,0.000000,0.043030,0.043089
173,MySQL,Python,python-mysql-app-aggre-1,0.000017,0.000094,0.000000,0.000112,0.000000,0.042385,0.042440
174,MySQL,Python,python-mysql-app-aggre-1,0.000013,0.000061,0.000000,0.000072,0.000000,0.041333,0.041371
175,MySQL,Python,python-mysql-app-aggre-1,0.000013,0.000064,0.000000,0.000074,0.000000,0.042236,0.042268
176,MySQL,Python,python-mysql-app-aggre-1,0.000017,0.000074,0.000000,0.000085,0.000000,0.043458,0.043493
177,MySQL,Python,python-mysql-app-aggre-1,0.000015,0.000071,0.000000,0.000085,0.000000,0.041975,0.042009
178,MySQL,Python,python-mysql-app-aggre-1,0.000014,0.000066,0.000000,0.000076,0.000000,0.042355,0.042397
179,MySQL,Python,python-mysql-app-aggre-1,0.000014,0.000067,0.000000,0.000079,0.000000,0.041204,0.041240
180,MySQL,Python,python-mysql-app-aggre-1,0.000016,0.000100,0.000000,0.000113,0.000000,0.042622,0.042657
181,MySQL,Python,python-mysql-app-aggre-1,0.000014,0.000066,0.000000,0.000077,0.000000,0.041799,0.041839
182,MySQL,Python,python-mysql-app-aggre-1,0.000017,0.000076,0.000000,0.000088,0.000000,0.042190,0.042259
183,MySQL,Python,python-mysql-app-aggre-1,0.000019,0.000085,0.000000,0.000102,0.000000,0.042194,0.042261
184,MySQL,Python,python-mysql-app-aggre-1,0.000015,0.000066,0.000000,0.000076,0.000000,0.044023,0.044050
185,MySQL,Python,python-mysql-app-aggre-1,0.000014,0.000079,0.000000,0.000090,0.000000,0.044559,0.044597
186,MySQL,Python,python-mysql-app-aggre-1,0.000015,0.000091,0.000000,0.000107,0.000000,0.042588,0.042621
187,MySQL,Python,python-mysql-app-aggre-1,0.000015,0.000075,0.000000,0.000088,0.000000,0.042736,0.042808
188,MySQL,Python,python-mysql-app-aggre-1,0.000015,0.000072,0.000000,0.000084,0.000000,0.041790,0.041835
