Test Number,Data Layer,Application Layer,Test,Name Lookup,Connect,App Connect,PreTransfer,Redirect,Start Transfer,Total Time
107,MySQL,Python,python-mysql-app-sort-1,0.000021,0.000099,0.000000,0.000119,0.000000,0.000865,0.000873
108,MySQL,Python,python-mysql-app-sort-1,0.000026,0.000116,0.000000,0.000135,0.000000,0.000878,0.000885
109,MySQL,Python,python-mysql-data-procedure-1,0.000025,0.000225,0.000000,0.000252,0.000000,0.001269,0.001276
110,MySQL,Python,python-mysql-data-procedure-1,0.000033,0.000138,0.000000,0.000164,0.000000,0.004769,0.004781
111,MySQL,Python,python-mysql-data-procedure-1,0.000038,0.000180,0.000000,0.000213,0.000000,0.001169,0.001179
112,MySQL,Python,python-mysql-data-procedure-1,0.000036,0.000185,0.000000,0.000223,0.000000,0.001101,0.001111
113,MySQL,Python,python-mysql-data-procedure-1,0.000051,0.000807,0.000000,0.000847,0.000000,0.001622,0.001674
114,MySQL,Python,python-mysql-data-procedure-1,0.000032,0.000151,0.000000,0.000179,0.000000,0.001086,0.001096
115,MySQL,Python,python-mysql-data-procedure-1,0.000031,0.000172,0.000000,0.000200,0.000000,0.000756,0.000764
116,MySQL,Python,python-mysql-data-procedure-1,0.000034,0.000129,0.000000,0.000158,0.000000,0.001122,0.001129
117,MySQL,Python,python-mysql-data-procedure-1,0.000033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000224
118,MySQL,Python,python-mysql-data-procedure-1,0.000036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000136
119,MySQL,Python,python-mysql-app-procedure-1,0.000029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000123
120,MySQL,Python,python-mysql-app-procedure-1,0.000040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000150
121,MySQL,Python,python-mysql-app-procedure-1,0.000035,0.000000,0.000000,0.000000,0.000000,0.000000,0.000152
122,MySQL,Python,python-mysql-app-procedure-1,0.000034,0.000000,0.000000,0.000000,0.000000,0.000000,0.000139
123,MySQL,Python,python-mysql-app-procedure-1,0.000042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000168
124,MySQL,Python,python-mysql-app-procedure-1,0.000039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000183
125,MySQL,Python,python-mysql-app-procedure-1,0.000033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000145
126,MySQL,Python,python-mysql-app-procedure-1,0.000035,0.000000,0.000000,0.000000,0.000000,0.000000,0.000143
127,MySQL,Python,python-mysql-app-procedure-1,0.000034,0.000000,0.000000,0.000000,0.000000,0.000000,0.000129
128,MySQL,Python,python-mysql-app-procedure-1,0.000286,0.000000,0.000000,0.000000,0.000000,0.000000,0.000726
129,MySQL,Python,python-mysql-data-adprocedure-1,0.000052,0.000000,0.000000,0.000000,0.000000,0.000000,0.000217
130,MySQL,Python,python-mysql-data-adprocedure-1,0.000035,0.000000,0.000000,0.000000,0.000000,0.000000,0.000173
131,MySQL,Python,python-mysql-data-adprocedure-1,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000128
132,MySQL,Python,python-mysql-data-adprocedure-1,0.000084,0.000000,0.000000,0.000000,0.000000,0.000000,0.000256
133,MySQL,Python,python-mysql-data-adprocedure-1,0.000039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000270
134,MySQL,Python,python-mysql-data-adprocedure-1,0.000058,0.000000,0.000000,0.000000,0.000000,0.000000,0.000172
135,MySQL,Python,python-mysql-data-adprocedure-1,0.000029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000120
136,MySQL,Python,python-mysql-data-adprocedure-1,0.000033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000130
137,MySQL,Python,python-mysql-data-adprocedure-1,0.000037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000151
138,MySQL,Python,python-mysql-data-adprocedure-1,0.000035,0.000000,0.000000,0.000000,0.000000,0.000000,0.000158
139,MySQL,Python,python-mysql-app-adprocedure-1,0.000062,0.000000,0.000000,0.000000,0.000000,0.000000,0.000188
140,MySQL,Python,python-mysql-app-adprocedure-1,0.000034,0.000000,0.000000,0.000000,0.000000,0.000000,0.000141
141,MySQL,Python,python-mysql-app-adprocedure-1,0.000035,0.000000,0.000000,0.000000,0.000000,0.000000,0.000128
142,MySQL,Python,python-mysql-app-adprocedure-1,0.000034,0.000000,0.000000,0.000000,0.000000,0.000000,0.000153
143,MySQL,Python,python-mysql-app-adprocedure-1,0.000034,0.000000,0.000000,0.000000,0.000000,0.000000,0.000169
144,MySQL,Python,python-mysql-app-adprocedure-1,0.000038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000137
145,MySQL,Python,python-mysql-app-adprocedure-1,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000131
146,MySQL,Python,python-mysql-app-adprocedure-1,0.000059,0.000000,0.000000,0.000000,0.000000,0.000000,0.000378
147,MySQL,Python,python-mysql-app-adprocedure-1,0.000027,0.000000,0.000000,0.000000,0.000000,0.000000,0.000108
148,MySQL,Python,python-mysql-app-adprocedure-1,0.000026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000109
